name|meaning
zaman|Time, destiny
zameer|Conscience
zamil|Friend, collegue
zarar|Brave, Courageous
zaroon|Visitor
zarrar|A great muslim warrior
zayan|Bright
zayb|Adornment
zayd|In abundance, plentiful
zayer|Tourist, who visits holy places
zebadiyah|Allah's gift
zeeshan|A high standard
zeeya|Light
zeyad|Prince, the honest and kind Peace and truth
zia|Wise
ziaud|Splendor, light
zishan|Peaceful
ziyad|Abundance
zohaib|Leader, king
zohair|Best friend of the last prophet (SAW)
zoran|Dawn
zubair|Proper Name
zubayr|It's a proper name, a Sahabas' name and the youngest fighter in Al
zuehb|Clever Minded
zufar|Name of Imam Abu Hanifah's disciple
zuhaib|Star
zuhair|The prophet
zuhayr|Bright
zuhoor|Appearance, Manifestation
zulaym|A narrator of Hadith
zulfaqar|Sword that the Prophet (SAW) gave to Sayyidina Ali
zulfiqar|Sword name of Hazart Ali
zulqarnain|Someone with two beautiful eyes
zunnoon|Appellation of Prophet Yunus (AS)
zuti|Name of the grandfather of Imam Abu Hanifah
